Date,Open,High,Low,Close,Adj Close,Volume
2021-10-18,1221.000000,1237.000000,1200.099976,1203.650024,1203.650024,254046
2021-10-19,1210.000000,1214.400024,1170.099976,1181.349976,1181.349976,176429
2021-10-20,1195.000000,1210.000000,1122.300049,1179.150024,1179.150024,241623
2021-10-21,1190.000000,1203.949951,1173.099976,1198.949951,1198.949951,271740
2021-10-22,1200.900024,1210.000000,1177.000000,1202.150024,1202.150024,301252
2021-10-25,1212.000000,1212.000000,1148.550049,1202.400024,1202.400024,218738
2021-10-26,1188.000000,1199.800049,1172.000000,1179.949951,1179.949951,138432
2021-10-27,1190.000000,1211.000000,1180.099976,1206.099976,1206.099976,381133
2021-10-28,1204.500000,1208.599976,1145.800049,1147.150024,1147.150024,314777
2021-10-29,1155.000000,1189.150024,1106.000000,1152.849976,1152.849976,364243
2021-11-01,1155.000000,1178.050049,1141.000000,1172.349976,1172.349976,1215021
2021-11-02,1178.000000,1184.449951,1135.800049,1174.250000,1174.250000,1638199
2021-11-03,1175.000000,1220.000000,1162.400024,1204.500000,1204.500000,1848796
2021-11-04,1215.000000,1224.800049,1195.099976,1200.400024,1200.400024,37041
2021-11-08,1224.349976,1235.000000,1201.000000,1226.000000,1226.000000,1615093
2021-11-09,1215.000000,1235.000000,1203.050049,1230.800049,1230.800049,2220381
2021-11-10,1223.000000,1232.400024,1206.800049,1228.849976,1228.849976,1819508
2021-11-11,1231.949951,1248.000000,1211.500000,1230.800049,1230.800049,1536247
2021-11-12,1248.000000,1292.300049,1237.349976,1292.300049,1292.300049,1685194
2021-11-15,1330.000000,1334.000000,1284.050049,1305.050049,1305.050049,1955088
2021-11-16,1314.000000,1329.000000,1291.000000,1314.349976,1314.349976,2043814
2021-11-17,1305.000000,1358.300049,1294.000000,1313.500000,1313.500000,2180190
2021-11-18,1299.800049,1355.000000,1292.400024,1345.750000,1345.750000,2032876
2021-11-22,1358.000000,1367.900024,1321.250000,1340.949951,1340.949951,2725159
2021-11-23,1329.449951,1407.949951,1309.300049,1407.050049,1407.050049,3017882
2021-11-24,1420.000000,1429.000000,1370.000000,1391.349976,1391.349976,3007303
2021-11-25,1394.800049,1418.699951,1370.000000,1405.050049,1405.050049,1430455
2021-11-26,1371.050049,1403.900024,1346.050049,1372.550049,1372.550049,1609398
2021-11-29,1346.000000,1364.800049,1303.949951,1352.750000,1352.750000,424967
2021-11-30,1349.000000,1414.000000,1285.150024,1295.400024,1295.400024,1651907
2021-12-01,1235.000000,1336.800049,1235.000000,1328.599976,1328.599976,1225618
2021-12-02,1338.000000,1370.000000,1317.000000,1341.599976,1341.599976,454785
2021-12-03,1349.449951,1395.949951,1341.849976,1389.650024,1389.650024,921744
2021-12-06,1398.300049,1415.000000,1360.099976,1378.699951,1378.699951,516587
2021-12-07,1398.000000,1414.000000,1371.000000,1389.699951,1389.699951,796718
2021-12-08,1368.050049,1409.000000,1368.050049,1390.500000,1390.500000,727977
2021-12-09,1400.000000,1410.000000,1381.000000,1390.099976,1390.099976,668010
2021-12-10,1395.000000,1410.000000,1381.349976,1388.900024,1388.900024,757777
2021-12-13,1430.000000,1474.849976,1365.400024,1385.949951,1385.949951,1184987
2021-12-14,1388.000000,1454.849976,1388.000000,1436.349976,1436.349976,949575
2021-12-15,1450.000000,1468.650024,1425.349976,1439.250000,1439.250000,457324
2021-12-16,1458.000000,1469.000000,1395.199951,1402.250000,1402.250000,508315
2021-12-17,1405.000000,1428.449951,1375.000000,1413.250000,1413.250000,1210610
2021-12-20,1410.000000,1410.000000,1322.550049,1369.500000,1369.500000,608784
2021-12-21,1385.000000,1406.449951,1377.050049,1383.150024,1383.150024,653263
2021-12-22,1396.099976,1410.000000,1375.000000,1403.099976,1403.099976,663073
2021-12-23,1424.000000,1439.750000,1389.099976,1422.050049,1422.050049,380538
2021-12-24,1425.000000,1429.650024,1380.099976,1385.400024,1385.400024,674141
2021-12-27,1388.900024,1392.650024,1370.449951,1375.500000,1375.500000,443450
2021-12-28,1386.000000,1403.849976,1381.750000,1398.800049,1398.800049,525392
2021-12-29,1398.500000,1407.349976,1382.599976,1392.650024,1392.650024,304195
2021-12-30,1385.050049,1396.849976,1295.000000,1311.050049,1311.050049,866537
2021-12-31,1325.099976,1340.800049,1311.050049,1330.250000,1330.250000,235438
2022-01-03,1340.000000,1356.199951,1336.900024,1346.900024,1346.900024,130549
2022-01-04,1357.000000,1375.000000,1340.000000,1366.699951,1366.699951,192988
2022-01-05,1366.699951,1408.300049,1366.699951,1399.650024,1399.650024,394705
2022-01-06,1400.000000,1419.800049,1379.650024,1409.800049,1409.800049,212678
2022-01-07,1427.800049,1429.000000,1403.000000,1423.099976,1423.099976,285809
2022-01-10,1405.000000,1453.000000,1405.000000,1438.900024,1438.900024,275337
2022-01-11,1448.000000,1582.750000,1432.000000,1567.949951,1567.949951,1351146
2022-01-12,1599.000000,1667.000000,1567.000000,1647.550049,1647.550049,2070560
2022-01-13,1650.000000,1684.400024,1588.000000,1661.800049,1661.800049,940202
2022-01-14,1657.000000,1720.500000,1637.050049,1697.949951,1697.949951,656706
2022-01-17,1706.449951,1854.000000,1698.400024,1835.300049,1835.300049,1670969
2022-01-18,1850.000000,1923.900024,1828.500000,1900.099976,1900.099976,1797857
2022-01-19,1930.000000,1950.000000,1905.050049,1938.449951,1938.449951,1100995
2022-01-20,1948.150024,1979.300049,1945.000000,1966.699951,1966.699951,644709
2022-01-21,1973.000000,1986.750000,1875.000000,1934.550049,1934.550049,827055
2022-01-24,1946.250000,1946.250000,1837.849976,1837.849976,1837.849976,449371
2022-01-25,1782.699951,1929.699951,1746.000000,1929.000000,1929.000000,620114
2022-01-27,1900.000000,1964.699951,1885.050049,1910.250000,1910.250000,379757
2022-01-28,1945.000000,1957.000000,1904.949951,1938.400024,1938.400024,352835
2022-01-31,1957.000000,1964.900024,1863.900024,1877.849976,1877.849976,297221
2022-02-01,1928.000000,1959.000000,1883.000000,1904.000000,1904.000000,492309
2022-02-02,1919.199951,1939.250000,1870.000000,1916.300049,1916.300049,258926
2022-02-03,1915.000000,1925.000000,1881.000000,1912.550049,1912.550049,242268
2022-02-04,1912.550049,1958.500000,1902.449951,1950.349976,1950.349976,296479
2022-02-07,1970.000000,2051.199951,1966.050049,2024.650024,2024.650024,470440
2022-02-08,2035.000000,2050.000000,1856.000000,1928.000000,1928.000000,561637
2022-02-09,1932.199951,1941.500000,1891.550049,1919.800049,1919.800049,348096
2022-02-10,1929.000000,1945.000000,1888.000000,1907.949951,1907.949951,555955
2022-02-11,1915.599976,1917.349976,1875.000000,1907.599976,1907.599976,397431
2022-02-14,1875.000000,1895.000000,1804.849976,1862.150024,1862.150024,402089
2022-02-15,1852.500000,1903.949951,1780.000000,1889.500000,1889.500000,410317
2022-02-16,1915.000000,1969.000000,1894.250000,1931.750000,1931.750000,659937
2022-02-17,1950.000000,2094.800049,1933.250000,2047.599976,2047.599976,1665839
2022-02-18,2060.000000,2125.000000,2001.000000,2041.849976,2041.849976,1134090
2022-02-21,2041.000000,2041.000000,1941.000000,1955.900024,1955.900024,466499
2022-02-22,1850.000000,1994.800049,1850.000000,1971.949951,1971.949951,1159269
2022-02-23,1982.000000,2053.149902,1971.000000,1987.349976,1987.349976,770250
2022-02-24,1899.000000,1924.000000,1800.000000,1849.750000,1849.750000,1036033
2022-02-25,1875.000000,1956.000000,1875.000000,1923.500000,1923.500000,644994
2022-02-28,1899.900024,1924.000000,1831.000000,1843.400024,1843.400024,1899148
2022-03-02,1806.000000,1899.000000,1800.050049,1882.550049,1882.550049,977410
2022-03-03,1930.000000,1997.000000,1916.199951,1950.900024,1950.900024,1175563
2022-03-04,1947.900024,1950.000000,1885.000000,1894.300049,1894.300049,646859
2022-03-07,1850.000000,1879.500000,1784.099976,1803.750000,1803.750000,636784
2022-03-08,1849.650024,1873.750000,1751.000000,1783.949951,1783.949951,844346
2022-03-09,1825.000000,1849.000000,1810.000000,1828.750000,1828.750000,525645
2022-03-10,1864.699951,1915.000000,1853.199951,1881.849976,1881.849976,657959
2022-03-11,1897.900024,1897.900024,1850.250000,1860.050049,1860.050049,382512
2022-03-14,1860.050049,1872.849976,1801.250000,1822.400024,1822.400024,362116
2022-03-15,1840.699951,1850.000000,1785.000000,1798.750000,1798.750000,396469
2022-03-16,1835.000000,1843.000000,1810.800049,1833.650024,1833.650024,315891
2022-03-17,1870.000000,1950.000000,1825.699951,1901.199951,1901.199951,1137281
2022-03-21,1939.800049,1948.000000,1863.500000,1876.050049,1876.050049,546502
2022-03-22,1860.000000,1905.000000,1855.000000,1877.449951,1877.449951,337757
2022-03-23,1884.400024,1941.900024,1877.500000,1921.400024,1921.400024,834792
2022-03-24,1887.000000,1924.000000,1887.000000,1911.400024,1911.400024,477913
2022-03-25,1928.500000,1947.400024,1895.000000,1921.250000,1921.250000,579479
2022-03-28,1932.949951,1940.650024,1895.449951,1930.849976,1930.849976,746161
2022-03-29,1935.199951,1947.000000,1904.000000,1923.300049,1923.300049,481913
2022-03-30,1936.000000,2039.800049,1776.250000,1857.150024,1857.150024,2316424
2022-03-31,1890.000000,1940.000000,1876.250000,1914.699951,1914.699951,1144220
2022-04-01,1935.550049,1965.449951,1907.199951,1945.099976,1945.099976,1015269
2022-04-04,1978.000000,2139.600098,1941.250000,2110.449951,2110.449951,1898588
2022-04-05,2152.699951,2209.949951,2122.000000,2189.800049,2189.800049,2206673
2022-04-06,2210.000000,2250.000000,2158.000000,2197.399902,2197.399902,1558568
2022-04-07,2218.000000,2329.750000,2084.850098,2166.000000,2166.000000,2665993
2022-04-08,2230.000000,2368.899902,2211.100098,2321.850098,2321.850098,2497727
2022-04-11,2415.000000,2786.199951,2390.000000,2665.149902,2665.149902,4757168
2022-04-12,2840.000000,2955.000000,2725.500000,2792.399902,2792.399902,7836658
2022-04-13,2880.000000,2950.000000,2775.399902,2864.300049,2864.300049,2316844
2022-04-18,2850.000000,3011.899902,2652.000000,2970.500000,2970.500000,2419364
2022-04-19,3035.000000,3050.000000,2750.000000,2911.949951,2911.949951,2529522
2022-04-20,2966.550049,2990.050049,2762.300049,2810.850098,2810.850098,1065499
2022-04-21,2859.000000,2870.000000,2750.000000,2811.500000,2811.500000,1122487
